perfumeName,price,likeCnt,reviewCnt,originImgUrl,imgUrl
블루 드 샤넬 오 드 빠르펭 스프레이,16800,0,0,https://contents.lotteon.com/itemimage/_v152831/LE/12/00/97/81/74/_1/20/36/71/06/0/LE1200978174_1203671060_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%B8%94%EB%A3%A8+%EB%93%9C+%EC%83%A4%EB%84%AC+%EC%98%A4+%EB%93%9C+%EB%B9%A0%EB%A5%B4%ED%8E%AD+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
우드 세이지 앤 씨 솔트 코롱,33000,0,0,https://contents.lotteon.com/itemimage/_v000839/LE/12/04/59/50/53/_1/22/48/08/17/3/LE1204595053_1224808173_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%9A%B0%EB%93%9C+%EC%84%B8%EC%9D%B4%EC%A7%80+%EC%95%A4+%EC%94%A8+%EC%86%94%ED%8A%B8+%EC%BD%94%EB%A1%B1.jpg
우드 세이지 앤 씨 솔트 코롱,19900,0,0,https://contents.lotteon.com/itemimage/_v000843/LE/12/04/59/50/61/_1/22/48/08/18/1/LE1204595061_1224808181_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%9A%B0%EB%93%9C+%EC%84%B8%EC%9D%B4%EC%A7%80+%EC%95%A4+%EC%94%A8+%EC%86%94%ED%8A%B8+%EC%BD%94%EB%A1%B1.jpg
미스 디올 블루밍 부케 오 드 뚜왈렛,26000,0,0,https://contents.lotteon.com/itemimage/_v111902/LE/12/04/45/50/63/_1/22/40/12/21/1/LE1204455063_1224012211_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%AF%B8%EC%8A%A4+%EB%94%94%EC%98%AC+%EB%B8%94%EB%A3%A8%EB%B0%8D+%EB%B6%80%EC%BC%80+%EC%98%A4+%EB%93%9C+%EB%9A%9C%EC%99%88%EB%A0%9B.jpg
블루 드 샤넬 오 드 뚜왈렛 스프레이,14800,0,0,https://contents.lotteon.com/itemimage/_v152833/LE/12/00/97/81/68/_1/20/36/71/04/7/LE1200978168_1203671047_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%B8%94%EB%A3%A8+%EB%93%9C+%EC%83%A4%EB%84%AC+%EC%98%A4+%EB%93%9C+%EB%9A%9C%EC%99%88%EB%A0%9B+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
코코 마드모아젤 오 드 빠르펭 스프레이,22700,0,0,https://contents.lotteon.com/itemimage/_v110835/LE/12/00/97/83/81/_1/20/36/71/70/0/LE1200978381_1203671700_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%BD%94%EC%BD%94+%EB%A7%88%EB%93%9C%EB%AA%A8%EC%95%84%EC%A0%A4+%EC%98%A4+%EB%93%9C+%EB%B9%A0%EB%A5%B4%ED%8E%AD+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
가브리엘 샤넬 에쌍스 오 드 빠르펭,31142,0,0,https://contents.lotteon.com/itemimage/_v122029/LE/12/03/75/00/51/_1/21/96/59/05/4/LE1203750051_1219659054_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98+%EC%83%A4%EB%84%AC+%EC%97%90%EC%8C%8D%EC%8A%A4+%EC%98%A4+%EB%93%9C+%EB%B9%A0%EB%A5%B4%ED%8E%AD.jpg
머르 앤 통카 코롱 인텐스,37800,0,0,https://contents.lotteon.com/itemimage/_v174840/LE/12/04/59/51/40/_1/22/48/08/26/3/LE1204595140_1224808263_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%A8%B8%EB%A5%B4+%EC%95%A4+%ED%86%B5%EC%B9%B4+%EC%BD%94%EB%A1%B1+%EC%9D%B8%ED%85%90%EC%8A%A4.jpg
레이지 선데이 모닝 EDT,29666,0,0,https://contents.lotteon.com/itemimage/_v144006/LE/12/07/27/95/89/_1/23/97/85/55/7/LE1207279589_1239785557_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%A0%88%EC%9D%B4%EC%A7%80+%EC%84%A0%EB%8D%B0%EC%9D%B4+%EB%AA%A8%EB%8B%9D+EDT.jpg
미스 디올 블루밍 부케 오 드 뚜왈렛,18600,0,0,https://contents.lotteon.com/itemimage/_v114847/LE/12/04/45/50/48/_1/22/40/12/14/3/LE1204455048_1224012143_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%AF%B8%EC%8A%A4+%EB%94%94%EC%98%AC+%EB%B8%94%EB%A3%A8%EB%B0%8D+%EB%B6%80%EC%BC%80+%EC%98%A4+%EB%93%9C+%EB%9A%9C%EC%99%88%EB%A0%9B.jpg
N5 로LEAU 오 드 뚜왈렛 스프레이,31600,0,0,https://contents.lotteon.com/itemimage/_v142004/LE/12/00/97/04/57/_1/20/36/28/92/2/LE1200970457_1203628922_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/N5+%EB%A1%9CLEAU+%EC%98%A4+%EB%93%9C+%EB%9A%9C%EC%99%88%EB%A0%9B+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
가브리엘 샤넬 에쌍스 오 드 빠르펭,23900,0,0,https://contents.lotteon.com/itemimage/_v140828/LE/12/03/75/00/36/_1/21/96/58/83/4/LE1203750036_1219658834_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98+%EC%83%A4%EB%84%AC+%EC%97%90%EC%8C%8D%EC%8A%A4+%EC%98%A4+%EB%93%9C+%EB%B9%A0%EB%A5%B4%ED%8E%AD.jpg
미스디올 앱솔루틀리 블루밍 오 드 퍼퓸,33000,0,0,https://contents.lotteon.com/itemimage/_v155827/LE/12/04/36/95/83/_1/22/34/72/64/9/LE1204369583_1223472649_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%AF%B8%EC%8A%A4%EB%94%94%EC%98%AC+%EC%95%B1%EC%86%94%EB%A3%A8%ED%8B%80%EB%A6%AC+%EB%B8%94%EB%A3%A8%EB%B0%8D+%EC%98%A4+%EB%93%9C+%ED%8D%BC%ED%93%B8.jpg
미스 디올 로즈 앤 로지스 오 드 뚜왈렛,26000,0,0,https://contents.lotteon.com/itemimage/_v112904/LE/12/04/36/81/85/_1/22/34/68/56/2/LE1204368185_1223468562_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%AF%B8%EC%8A%A4+%EB%94%94%EC%98%AC+%EB%A1%9C%EC%A6%88+%EC%95%A4+%EB%A1%9C%EC%A7%80%EC%8A%A4+%EC%98%A4+%EB%93%9C+%EB%9A%9C%EC%99%88%EB%A0%9B.jpg
블루 드 샤넬 빠르펭 스프레이,19200,0,0,https://contents.lotteon.com/itemimage/_v111830/LE/12/01/03/19/57/_1/20/40/17/17/1/LE1201031957_1204017171_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%B8%94%EB%A3%A8+%EB%93%9C+%EC%83%A4%EB%84%AC+%EB%B9%A0%EB%A5%B4%ED%8E%AD+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
와일드 블루벨 코롱,33000,0,0,https://contents.lotteon.com/itemimage/_v000842/LE/12/04/59/51/12/_1/22/48/08/23/2/LE1204595112_1224808232_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%99%80%EC%9D%BC%EB%93%9C+%EB%B8%94%EB%A3%A8%EB%B2%A8+%EC%BD%94%EB%A1%B1.jpg
코코 마드모아젤 오 드 빠르펭 스프레이,31600,0,0,https://contents.lotteon.com/itemimage/_v110833/LE/12/00/97/83/83/_1/20/36/71/70/2/LE1200978383_1203671702_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%BD%94%EC%BD%94+%EB%A7%88%EB%93%9C%EB%AA%A8%EC%95%84%EC%A0%A4+%EC%98%A4+%EB%93%9C+%EB%B9%A0%EB%A5%B4%ED%8E%AD+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
블루 드 샤넬 빠르펭 스프레이,27200,0,0,https://contents.lotteon.com/itemimage/_v110835/LE/12/00/99/16/35/_1/20/37/55/24/5/LE1200991635_1203755245_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%B8%94%EB%A3%A8+%EB%93%9C+%EC%83%A4%EB%84%AC+%EB%B9%A0%EB%A5%B4%ED%8E%AD+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
레드 로즈 코롱,33000,0,0,https://contents.lotteon.com/itemimage/_v000842/LE/12/04/59/50/60/_1/22/48/08/17/9/LE1204595060_1224808179_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%A0%88%EB%93%9C+%EB%A1%9C%EC%A6%88+%EC%BD%94%EB%A1%B1.jpg
다크 앰버 앤 진저 릴리 코롱 인텐스,27000,0,0,https://contents.lotteon.com/itemimage/_v000846/LE/12/04/59/50/35/_1/22/48/08/15/5/LE1204595035_1224808155_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%8B%A4%ED%81%AC+%EC%95%B0%EB%B2%84+%EC%95%A4+%EC%A7%84%EC%A0%80+%EB%A6%B4%EB%A6%AC+%EC%BD%94%EB%A1%B1+%EC%9D%B8%ED%85%90%EC%8A%A4.jpg
오렌지 블로썸 코롱,33000,0,0,https://contents.lotteon.com/itemimage/_v130840/LE/12/04/59/51/10/_1/22/48/08/23/0/LE1204595110_1224808230_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%98%A4%EB%A0%8C%EC%A7%80+%EB%B8%94%EB%A1%9C%EC%8D%B8+%EC%BD%94%EB%A1%B1.jpg
알뤼르 오 드 빠르펭 스프레이,31600,0,0,https://contents.lotteon.com/itemimage/_v114835/LE/12/00/97/03/81/_1/20/36/28/73/8/LE1200970381_1203628738_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%95%8C%EB%A4%BC%EB%A5%B4+%EC%98%A4+%EB%93%9C+%EB%B9%A0%EB%A5%B4%ED%8E%AD+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
N5 로LEAU 올-오버 스프레이,5866,0,0,https://contents.lotteon.com/itemimage/_v134921/LE/12/00/97/83/88/_1/20/36/71/70/7/LE1200978388_1203671707_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/N5+%EB%A1%9CLEAU+%EC%98%AC-%EC%98%A4%EB%B2%84+%EC%8A%A4%ED%94%84%EB%A0%88%EC%9D%B4.jpg
유자 오 드 퍼퓸,31000,0,0,https://contents.lotteon.com/itemimage/_v185340/LE/12/04/37/47/28/_1/22/35/12/40/0/LE1204374728_1223512400_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%9C%A0%EC%9E%90+%EC%98%A4+%EB%93%9C+%ED%8D%BC%ED%93%B8.jpg
자스민 삼박 앤 메리골드 코롱 인텐스,37800,0,0,https://contents.lotteon.com/itemimage/_v000843/LE/12/05/05/87/20/_1/22/75/81/53/8/LE1205058720_1227581538_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%9E%90%EC%8A%A4%EB%AF%BC+%EC%82%BC%EB%B0%95+%EC%95%A4+%EB%A9%94%EB%A6%AC%EA%B3%A8%EB%93%9C+%EC%BD%94%EB%A1%B1+%EC%9D%B8%ED%85%90%EC%8A%A4.jpg
리브르 오 드 뚜왈렛,21555,0,0,https://contents.lotteon.com/itemimage/_v000845/LE/12/07/30/13/18/_1/23/99/11/53/0/LE1207301318_1239911530_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EB%A6%AC%EB%B8%8C%EB%A5%B4+%EC%98%A4+%EB%93%9C+%EB%9A%9C%EC%99%88%EB%A0%9B.jpg
에로스플레임오드퍼퓸,10125,0,0,https://contents.lotteon.com/itemimage/_v151829/LE/12/07/14/48/69/_1/23/90/47/55/2/LE1207144869_1239047552_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%97%90%EB%A1%9C%EC%8A%A4%ED%94%8C%EB%A0%88%EC%9E%84%EC%98%A4%EB%93%9C%ED%8D%BC%ED%93%B8.jpg
오드 앤 베르가못 코롱 인텐스,37800,0,0,https://contents.lotteon.com/itemimage/_v134851/LE/12/04/59/51/24/_1/22/48/08/24/4/LE1204595124_1224808244_1.jpg/dims/optimize/dims/resizemc/360x360,https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/perfumes/%EC%98%A4%EB%93%9C+%EC%95%A4+%EB%B2%A0%EB%A5%B4%EA%B0%80%EB%AA%BB+%EC%BD%94%EB%A1%B1+%EC%9D%B8%ED%85%90%EC%8A%A4.jpg
